Nombre;ROA2024
GUINAZ ELECTRONICA SL.;-15,46
ANHELA IT SL.;39,31
EQS GROUP REGTECH SL.;9,99
COACHHUB SPAIN SL.;1,54
CARTAGO TELECOM, SLU;15,18
OAMLEC SL.;-5,35
DERBYSOFT TECHNOLOGY SPAIN S.L.;4,31
ROMUX PRO EQUIPMENT SOCIEDAD LIMITADA.;25,58
SHALION DATA SERVICES S.L.;-38,15
MISSISSIPPI CONSULTING SL.;84,05
ATUAXANELA SL.;7,01
ULTMA VANGUARDIA 2021 SL.;7,31
KOSMOS TEAM S.L.;29,4
MS2 SOLUCIONES DIGITALES SL.;7,28
GEEK ATMOSPHERE SL.;4,85
BADIAPP TECHNOLOGIES S.L.;-18,73
GOSA GESTION SHARED SERVICES SL;-4,16
XXXLUTZ DIGITAL S.L.;25,11
BOOKINADVANCE SL.;14,01
NEXGEN CLOUD SL.;-6,61
SANTANDER GLOBAL CARDS & DIGITAL SOLUTIONS SL.;-8,21
IBERIAN PREMIUM FRUITS SL.;0,83
IMATICA TECNOLOGIA SOCIEDAD LIMITADA.;8,06
FACEVERIFY SOCIEDAD LIMITADA.;0,6
OSAPIENS COE SPAIN SL.;-0,04
DELIVERECT S.L.;7,76
WEEWOO, SOCIEDAD LIMITADA.;-0,23
ENERCLIC INNOVATIO SL.;4,75
STARTEND MARKETING SOCIEDAD LIMITADA.;21,89
PINTEREST SPAIN TECHNOLOGY SL.;8,75
PRIME SALES GLOBAL SL.;1,67
VIMANTIK SOLUCIONES TECNOLOGICAS SL.;11,96
SPARTA COMMODITIES SPAIN SL.;37,16
AGODA INTERNATIONAL SPAIN S.L.;26,78
ILYCOM INFORMATICA SL.;15,19
EXECUTIVE TRADE SL;5,36
SERCAR CENTRO DE ESTUDIOS SUPERIORES SL.;47,19
LIVE ACTIVE SL.;49,48
AGRUPACION 4 CUBOS SL.;27,45
MNEMO INNOVATE SL.;15,58
WELYSIS INDUSTRIES SL.;5,29
MISURIAM SL.;-2,34
SERVICIOS HOTELEROS 360, SOCIEDAD LIMITADA.;11,75
GB INTELLIGENT DESIGN, S.L.;24,73
KUANTIKO STUDIO SL.;103,08
BLOOFENIX SL.;-25,3
CANDEX SOLUTIONS SPAIN S.L.;0,34
